NUMBER OF OBSERVATIONS							
9775							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
12	2	1992	0.856111169	0.651724138	-9999	13.51	0
13	2	1992	0.008209979	0.651724138	-9999	-9999	0
14	2	1992	2.046253681	0.651724138	-9999	-9999	0
15	2	1992	0.027006304	0.651724138	-9999	-9999	0
16	2	1992	0.315755308	0.651724138	-9999	-9999	0
17	2	1992	0.002860635	0.651724138	-9999	-9999	0
18	2	1992	6.04E-05	0.651724138	-9999	-9999	0
19	2	1992	0.000195998	0.651724138	-9999	-9999	0
20	2	1992	0.000686202	0.651724138	-9999	-9999	0
21	2	1992	0.002435755	0.651724138	-9999	-9999	0
22	2	1992	0.005385933	0.651724138	-9999	-9999	0
23	2	1992	0.001615789	0.651724138	-9999	-9999	0
24	2	1992	0.05863329	0.651724138	-9999	-9999	0
25	2	1992	0.003648588	0.651724138	-9999	-9999	0
26	2	1992	0.001026543	0.651724138	-9999	-9999	0
27	2	1992	0.481004119	0.651724138	-9999	-9999	0
28	2	1992	0.055010714	0.651724138	-9999	-9999	0
29	2	1992	0.000968727	0.651724138	-9999	-9999	0
1	3	1992	4.214633942	1.303225806	-9999	-9999	0
2	3	1992	0.721571922	1.303225806	-9999	-9999	0
3	3	1992	0.026592033	1.303225806	-9999	-9999	0
4	3	1992	0.017556503	1.303225806	-9999	-9999	0
5	3	1992	1.173932552	1.303225806	-9999	-9999	0
6	3	1992	0.002780702	1.303225806	-9999	-9999	0
7	3	1992	0.001464793	1.303225806	-9999	-9999	0
8	3	1992	0.09663371	1.303225806	-9999	-9999	0
9	3	1992	0.002022495	1.303225806	-9999	-9999	0
10	3	1992	2.309086561	1.303225806	-9999	-9999	0
11	3	1992	0.19260858	1.303225806	-9999	13.35	0
12	3	1992	1.537100911	1.303225806	-9999	-9999	0
13	3	1992	1.414770961	1.303225806	-9999	-9999	0
14	3	1992	4.112923145	1.303225806	-9999	-9999	0
15	3	1992	0.685341835	1.303225806	-9999	-9999	0
16	3	1992	0.012016592	1.303225806	-9999	-9999	0
17	3	1992	0.002618545	1.303225806	-9999	-9999	0
18	3	1992	0.488508284	1.303225806	-9999	-9999	0
19	3	1992	0.000715435	1.303225806	-9999	-9999	0
20	3	1992	1.463163137	1.303225806	-9999	-9999	0
21	3	1992	7.123409271	1.303225806	-9999	-9999	0
22	3	1992	3.459415913	1.303225806	-9999	-9999	0
23	3	1992	7.050939083	1.303225806	-9999	-9999	0
24	3	1992	1.004665017	1.303225806	-9999	-9999	0
25	3	1992	8.645849228	1.303225806	-9999	-9999	0
26	3	1992	4.941534042	1.303225806	-9999	-9999	0
27	3	1992	0.648199081	1.303225806	-9999	-9999	0
28	3	1992	0.165401101	1.303225806	-9999	-9999	0
29	3	1992	4.173543453	1.303225806	-9999	-9999	0
30	3	1992	11.01430702	1.303225806	-9999	-9999	0
31	3	1992	0.060727682	1.303225806	-9999	-9999	0
1	4	1992	0.06067507	1.943333333	-9999	-9999	0
2	4	1992	2.389861345	1.943333333	-9999	-9999	0
3	4	1992	0.019638324	1.943333333	-9999	-9999	0
4	4	1992	0.05209237	1.943333333	-9999	-9999	0
5	4	1992	0.010460548	1.943333333	-9999	-9999	0
6	4	1992	1.092645407	1.943333333	-9999	-9999	0
7	4	1992	0.555363119	1.943333333	-9999	-9999	0
8	4	1992	7.34E-05	1.943333333	-9999	13.78	0
9	4	1992	0.000811676	1.943333333	-9999	-9999	0
10	4	1992	5.86E-05	1.943333333	-9999	-9999	0
11	4	1992	0.002730993	1.943333333	-9999	-9999	0
12	4	1992	0.925027907	1.943333333	-9999	-9999	0
13	4	1992	0.16329442	1.943333333	-9999	-9999	0
14	4	1992	15.69550991	1.943333333	-9999	-9999	0
15	4	1992	3.702116489	1.943333333	-9999	-9999	0
16	4	1992	1.101221204	1.943333333	-9999	-9999	0
17	4	1992	0.249075085	1.943333333	-9999	-9999	0
18	4	1992	0.003684364	1.943333333	-9999	-9999	0
19	4	1992	0.00063749	1.943333333	-9999	-9999	0
20	4	1992	0.002640313	1.943333333	-9999	-9999	0
21	4	1992	0	1.943333333	-9999	-9999	0
22	4	1992	0.530304968	1.943333333	-9999	-9999	0
23	4	1992	0.000510999	1.943333333	-9999	-9999	0
24	4	1992	0.517608583	1.943333333	-9999	-9999	0
25	4	1992	0.065778181	1.943333333	-9999	-9999	0
26	4	1992	0.553665519	1.943333333	-9999	-9999	0
27	4	1992	5.540050507	1.943333333	-9999	-9999	0
28	4	1992	8.070661545	1.943333333	-9999	-9999	0
29	4	1992	0.145197958	1.943333333	-9999	-9999	0
30	4	1992	11.07626343	1.943333333	-9999	-9999	0
1	5	1992	0.017713755	3.567741935	-9999	-9999	0
2	5	1992	0.009218858	3.567741935	-9999	-9999	0
3	5	1992	0.000332524	3.567741935	-9999	-9999	0
4	5	1992	0.06852378	3.567741935	-9999	-9999	0
5	5	1992	0.161367953	3.567741935	-9999	-9999	0
6	5	1992	0.002939048	3.567741935	-9999	-9999	0
7	5	1992	0	3.567741935	-9999	-9999	0
8	5	1992	0.610784054	3.567741935	-9999	-9999	0
9	5	1992	10.2050066	3.567741935	-9999	-9999	0
10	5	1992	0.314970553	3.567741935	-9999	-9999	0
11	5	1992	1.226379037	3.567741935	-9999	-9999	0
12	5	1992	0.000602395	3.567741935	-9999	14.61	0
13	5	1992	0	3.567741935	-9999	-9999	0
14	5	1992	0.084503785	3.567741935	-9999	-9999	0
15	5	1992	0.008685711	3.567741935	-9999	-9999	0
16	5	1992	0	3.567741935	-9999	-9999	0
17	5	1992	0.000329168	3.567741935	-9999	-9999	0
18	5	1992	0	3.567741935	-9999	-9999	0
19	5	1992	0	3.567741935	-9999	-9999	0
20	5	1992	0	3.567741935	-9999	-9999	0
21	5	1992	0	3.567741935	-9999	-9999	0
22	5	1992	0.011389014	3.567741935	-9999	-9999	0
23	5	1992	0.600958705	3.567741935	-9999	-9999	0
24	5	1992	0	3.567741935	-9999	-9999	0
25	5	1992	0.153543696	3.567741935	-9999	-9999	0
26	5	1992	0	3.567741935	-9999	-9999	0
27	5	1992	1.096127033	3.567741935	-9999	-9999	0
28	5	1992	5.846607685	3.567741935	-9999	-9999	0
29	5	1992	33.33749008	3.567741935	-9999	-9999	0
30	5	1992	1.457547784	3.567741935	-9999	-9999	0
31	5	1992	0.108196251	3.567741935	-9999	-9999	0
1	6	1992	0	3.12	-9999	-9999	0
2	6	1992	2.141612053	3.12	-9999	-9999	0
3	6	1992	0.103212483	3.12	-9999	-9999	0
4	6	1992	11.98502064	3.12	-9999	-9999	0
5	6	1992	3.208254814	3.12	-9999	-9999	0
6	6	1992	5.733876705	3.12	-9999	-9999	0
7	6	1992	0.097252816	3.12	-9999	-9999	0
8	6	1992	0	3.12	-9999	-9999	0
9	6	1992	0.164750651	3.12	-9999	-9999	0
10	6	1992	0	3.12	-9999	-9999	0
11	6	1992	0	3.12	-9999	14.58	0
12	6	1992	0	3.12	-9999	-9999	0
13	6	1992	0	3.12	-9999	-9999	0
14	6	1992	0.002496664	3.12	-9999	-9999	0
15	6	1992	0.000797558	3.12	-9999	-9999	0
16	6	1992	0	3.12	-9999	-9999	0
17	6	1992	0	3.12	-9999	-9999	0
18	6	1992	0.3250539	3.12	-9999	-9999	0
19	6	1992	14.34425735	3.12	-9999	-9999	0
20	6	1992	0.001349213	3.12	-9999	-9999	0
21	6	1992	0	3.12	-9999	-9999	0
22	6	1992	0.002496664	3.12	-9999	-9999	0
23	6	1992	0.002496664	3.12	-9999	-9999	0
24	6	1992	0.001248332	3.12	-9999	-9999	0
25	6	1992	0.001248332	3.12	-9999	-9999	0
26	6	1992	0	3.12	-9999	-9999	0
27	6	1992	0	3.12	-9999	-9999	0
28	6	1992	0	3.12	-9999	-9999	0
29	6	1992	0.238589182	3.12	-9999	-9999	0
30	6	1992	0.703831136	3.12	-9999	-9999	0
1	7	1992	4.255992889	2.967741935	-9999	-9999	0
2	7	1992	0.053971864	2.967741935	-9999	-9999	0
3	7	1992	5.216349125	2.967741935	-9999	-9999	0
4	7	1992	3.151943922	2.967741935	-9999	-9999	0
5	7	1992	0.005962797	2.967741935	-9999	-9999	0
6	7	1992	0	2.967741935	-9999	-9999	0
7	7	1992	0.574205518	2.967741935	-9999	-9999	0
8	7	1992	0.111768588	2.967741935	-9999	-9999	0
9	7	1992	1.265508056	2.967741935	-9999	-9999	0
10	7	1992	0.025222655	2.967741935	-9999	-9999	0
11	7	1992	0.676616311	2.967741935	-9999	-9999	0
12	7	1992	0.871686161	2.967741935	-9999	-9999	0
13	7	1992	11.09893417	2.967741935	-9999	-9999	0
14	7	1992	0.001292014	2.967741935	-9999	-9999	0
15	7	1992	0.090421818	2.967741935	-9999	-9999	0
16	7	1992	2.381116867	2.967741935	-9999	14.06	0
17	7	1992	0.045270555	2.967741935	-9999	-9999	0
18	7	1992	0.002476042	2.967741935	-9999	-9999	0
19	7	1992	0.000207793	2.967741935	-9999	-9999	0
20	7	1992	34.80187988	2.967741935	-9999	-9999	0
21	7	1992	0.444307774	2.967741935	-9999	-9999	0
22	7	1992	0.002368497	2.967741935	-9999	-9999	0
23	7	1992	2.906939268	2.967741935	-9999	-9999	0
24	7	1992	0.084769309	2.967741935	-9999	-9999	0
25	7	1992	0.00013891	2.967741935	-9999	-9999	0
26	7	1992	0.015953412	2.967741935	-9999	-9999	0
27	7	1992	9.08E-05	2.967741935	-9999	-9999	0
28	7	1992	5.74E-05	2.967741935	-9999	-9999	0
29	7	1992	0	2.967741935	-9999	-9999	0
30	7	1992	5.74E-05	2.967741935	-9999	-9999	0
31	7	1992	0	2.967741935	-9999	-9999	0
1	8	1992	0	3.003225806	-9999	-9999	0
2	8	1992	0.000696086	3.003225806	-9999	-9999	0
3	8	1992	0.008769943	3.003225806	-9999	-9999	0
4	8	1992	0	3.003225806	-9999	-9999	0
5	8	1992	0.154515266	3.003225806	-9999	-9999	0
6	8	1992	0.000495488	3.003225806	-9999	-9999	0
7	8	1992	0.139033362	3.003225806	-9999	-9999	0
8	8	1992	0.003688418	3.003225806	-9999	-9999	0
9	8	1992	3.561168671	3.003225806	-9999	-9999	0
10	8	1992	0.047374647	3.003225806	-9999	-9999	0
11	8	1992	5.679308891	3.003225806	-9999	-9999	0
